GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0031526	FBtr0077588	1.074	1.319	2.558	1.255	1.234	0.47	0.178	0.118	0.128	0.139	0.127	0.295
FBgn0030641	FBtr0074032	4.586	5.635	6.323	2.701	1.524	1.115	1.047	1.141	2.609	3.95	4.85	4.835
FBgn0010583	FBtr0078015	3.695	6.459	6.89	3.639	5.029	2.901	3.028	2.477	1.819	2.834	12.74	15.18
FBgn0036710	FBtr0075246	72.781	115.443	142.977	58.498	49.398	48.413	49.608	32.573	25.626	23.755	9.993	13.022
FBgn0035829	FBtr0076765	1.091	0.971	2.16	3.137	2.787	2.907	2.631	4.139	1.972	1.495	1.331	0.719
FBgn0266669	FBtr0075231	29.651	34.641	18.8	9.482	8.815	11.555	15.859	19.047	19.263	21.162	17.494	18.108
FBgn0011974	FBtr0073865	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0030562	FBtr0073920	0.066	0.024	0.083	0.059	0.057	0.04	0.123	0.04	0.233	0.648	1.27	1.348
FBgn0031377	FBtr0077869	57.645	62.194	26.99	6.26	6.861	10.041	13.881	19.671	21.097	20.214	13.557	13.697
FBgn0053052	FBtr0075229	50.272	38.526	7.506	20.297	22.192	28.514	31.961	36.662	41.72	41.223	40.337	32.987
FBgn0035956	FBtr0076547	1.265	0.633	2.295	35.173	43.104	39.681	42.223	38.748	25.141	18.39	11.563	8.025
FBgn0035645	FBtr0077029	0.015	0.029	0.042	0.559	0.331	0.341	0.394	0.286	0.203	0.06	0.025	0.092
FBgn0035904	FBtr0076622	10.507	3.903	4.317	1.061	2.493	2.092	3.542	1.908	2.868	4.078	31.851	94.356
FBgn0035889	FBtr0076665	6.161	22.834	3.6	6.926	1.644	11.563	5.562	10.95	1.099	3.985	9.152	6.745
FBgn0036532	FBtr0075503	0.086	0.09	0	0.075	0.155	0.646	0.345	0.262	0.347	0.263	0.193	0.167
FBgn0010387	FBtr0076916	6.087	2.025	5.38	0.87	2.372	3.006	2.883	2.344	6.808	6.471	26.475	25.565
FBgn0040323	FBtr0075050	3.108	3.918	4.864	5.277	5.194	4.283	3.982	5.812	4.723	3.224	2.679	3.421
FBgn0031161	FBtr0077250	9.375	10.945	11.909	7.535	5.37	2.003	4.326	3.337	6.174	6.599	5.889	7.786
FBgn0036671	FBtr0075337	54.789	55.868	34.863	14.563	13.766	11.819	14.158	18.555	19.393	18.267	16.646	16.621
FBgn0036808	FBtr0075090	0	0	0	0	0	0	0	0	0	0	0	0
